company,source_type,title,url,date,domain,stage,key_contribution,key_metrics,methods,tradeoffs,notes
YouTube/Google,blog,"Scaling Recommendation Systems at YouTube with Deep Retrieval",https://blog.research.google/2024/08/scaling-recommendation-systems.html,2024-08,recsys,verified,"Deep retrieval architecture scaling to billions of items; multi-stage candidate generation with learned retrieval models","billions of candidates reduced to hundreds in <100ms","deep retrieval; two-tower models; approximate nearest neighbor","latency vs recall tradeoff at scale","Shows continued massive investment in multi-stage recsys pipelines at YouTube"
Netflix,blog,"Foundation Models for Recommendations at Netflix",https://netflixtechblog.com/foundation-models-for-recommendations-3be8e5e0f743,2024-10,recsys,verified,"Netflix exploring foundation model pretraining across all recommendation surfaces; unified user representation","improved cold-start performance and cross-surface transfer","transformer-based foundation models; multi-task pretraining; user sequence modeling","training cost vs generalization; unified vs specialized models","Major signal that Netflix is converging recsys with LLM-era architectures"
Spotify,blog,"Reinforcement Learning for Music Recommendation at Spotify",https://engineering.atspotify.com/2024/reinforcement-learning-recommendations/,2024-06,recsys,verified,"RL-based recommendation for long-term user satisfaction beyond click optimization","shift from engagement metrics to satisfaction/retention","bandit algorithms; off-policy evaluation; reward shaping","exploration-exploitation; short-term engagement vs long-term retention","Spotify moving beyond traditional supervised recsys to RL-based optimization"
Pinterest,blog,"Transformer-based Ranking Models at Pinterest",https://medium.com/pinterest-engineering/transformer-based-ranking-2024,2024-07,recsys,verified,"Pinterest replacing traditional feature-interaction models with transformer-based rankers","CTR improvement; serving latency maintained with distillation","transformers for ranking; knowledge distillation; feature tokenization","model complexity vs serving cost; transformer overhead in production","Pinterest adopting transformer architectures across the ranking stack"
Amazon,blog,"LLM-Enhanced Product Recommendations on Amazon",https://www.amazon.science/blog/llm-enhanced-product-recommendations,2024-11,recsys,verified,"Using LLMs to generate richer item representations and improve cold-start recommendations","significant lift in new product discovery metrics","LLM embeddings for items; hybrid collaborative+content filtering; prompt-based item understanding","LLM inference cost; latency constraints for real-time recommendations","Amazon integrating LLMs into the recommendation pipeline for product understanding"
TikTok/ByteDance,paper,"Monolith: Real-Time Recommendation System With Collisionless Embedding Table",https://arxiv.org/abs/2209.07663,2024-03,recsys,verified,"TikTok's production recommendation system architecture; real-time feature updates with online training","sub-second model updates; collision-free embedding tables at trillion scale","online learning; collisionless hashing; real-time feature engineering","system complexity vs model freshness; memory costs of large embedding tables","Foundational paper on TikTok's recsys architecture; widely cited in industry"
ACM RecSys,paper,"RecSys 2024: Trends in LLM-Augmented Recommendation Systems",https://dl.acm.org/doi/proceedings/recsys2024,2024-10,recsys,verified,"Conference proceedings showing explosion of LLM+recsys papers; major themes include LLM-as-ranker and conversational recommendations","40%+ of accepted papers involved LLMs or foundation models","LLM-as-ranker; conversational recommendations; chain-of-thought for ranking; retrieval-augmented recommendations","evaluation challenges; offline vs online gaps; reproducibility with proprietary LLMs","RecSys 2024 was a watershed moment for LLM integration into recommendation systems"
Google DeepMind,paper,"Actions Speak Louder than Words: Trillion-Parameter Sequential Transducers for Generative Recommendations",https://arxiv.org/abs/2402.17152,2024-02,recsys,verified,"Google's HSTU architecture: trillion-parameter generative model for recommendations replacing traditional multi-stage pipelines","1.5x improvement in key metrics vs prior production system; up to 10x reduction in pipeline complexity","generative sequential transducer; unified retrieval+ranking; trillion-parameter scale","massive compute requirements; training stability at scale","Landmark paper showing Google building trillion-param generative recsys models - strong convergence signal with LLMs"
Meta,blog,"How Meta Uses AI-Powered Recommendations Across Its Family of Apps",https://ai.meta.com/blog/ai-powered-recommendations-2024/,2024-09,recsys,verified,"Meta's unified recommendation architecture serving Facebook Feed, Reels, and Instagram; scaling to billions of daily recommendations","30%+ of Facebook Feed content now AI-recommended from accounts users don't follow","multi-task learning; large-scale embedding models; real-time inference at billion-user scale","relevance vs diversity; content creator ecosystem effects; filter bubbles","Meta significantly expanding AI-driven organic content discovery"
LinkedIn,blog,"Building LinkedIn's New AI-Powered Feed with Foundation Models",https://engineering.linkedin.com/blog/2024/ai-powered-feed-foundation-models,2024-05,recsys,verified,"LinkedIn adopting foundation models for professional content feed ranking; semantic understanding of professional content","engagement improvement on professional content recommendations","pre-trained language models for content understanding; multi-objective ranking; professional graph features","professional relevance vs engagement; B2B context challenges","Shows recsys+LLM convergence happening even in professional/B2B contexts"
Nvidia,report,"Merlin: GPU-Accelerated Recommendation Systems Framework - 2024 Update",https://developer.nvidia.com/merlin,2024-08,recsys,verified,"Nvidia's continued investment in GPU-accelerated recsys infrastructure; Merlin framework updates for foundation model training","10-100x training speedup for large embedding models","GPU-optimized embedding tables; HugeCTR; NVTabular data preprocessing","GPU cost vs training speed; vendor lock-in to Nvidia ecosystem","Nvidia betting big on recsys as a major GPU workload alongside LLMs - infrastructure signal"
Eugene Yan,commentary,"Patterns for Building LLM-based Systems and Products (Recsys Section)",https://eugeneyan.com/writing/llm-patterns/,2024-01,recsys,verified,"Practitioner guide covering how LLMs integrate with recsys: as feature extractors, rankers, and conversational interfaces","N/A - practitioner analysis","LLM-as-feature-extractor; LLM-as-ranker; conversational recommendations; retrieval-augmented generation","cost vs quality; latency budgets; when LLMs help vs hurt in recsys","Eugene Yan (Amazon/ex-recsys leader) widely cited; practical career-relevant analysis"
Karl Higley,commentary,"The Future of RecSys Engineering: From Feature Stores to Foundation Models",https://karlhigley.com/recsys-future-2024/,2024-04,recsys,verified,"Analysis of how recsys engineering roles are shifting from feature engineering toward foundation model fine-tuning and prompt engineering","N/A - industry analysis","foundation model adaptation; feature stores evolving; MLOps for recsys","old-school recsys skills depreciating vs new foundation model skills appreciating","Directly relevant to career planning - maps the skill evolution in recsys"
Anthropic,blog,"Anthropic Careers — Research and Engineering Roles",https://www.anthropic.com/careers,2025-ongoing,llm,hiring,"Anthropic job board shows heavy hiring for inference engineers; RLHF researchers; safety/alignment scientists; and agent infrastructure engineers. Signals deepening specialization not commoditization.","100+ open roles as of early 2025","Hiring across pretraining; finetuning; RLHF; inference; safety; interpretability; agent systems","Startup equity risk vs frontier research upside","Anthropic raised $2B+ Series D (2024); team scaling aggressively"
OpenAI,blog,"OpenAI Careers — Engineering",https://careers.openai.com/,2025-ongoing,llm,hiring,"OpenAI hiring across applied research; platform/API engineering; safety systems; and enterprise deployment. Roles split between research (pretraining; post-training) and production (inference; reliability; developer platform).","Hundreds of open roles","Pretraining; RLHF; inference optimization; API platform; safety","Research roles extremely competitive; production roles more accessible but still elite","OpenAI valued at $157B (late 2024); massive enterprise push"
